id,uuid,observed_on,quality_grade,license,url,image_url,sound_url,tag_list,species_guess
5069615,3caa0478-ba39-4142-ae12-23aade9ed677,2017-02-06,research,CC-BY-NC,https://www.inaturalist.org/observations/5069615,https://inaturalist-open-data.s3.amazonaws.com/photos/6220949/medium.jpg,,"",Tubular Knapweed
5202831,390e2bb9-8bda-4a62-9ee4-f99bf7c6f1da,2017-02-25,research,,https://www.inaturalist.org/observations/5202831,https://static.inaturalist.org/photos/6422753/medium.jpg,,"",Volutaria tubuliflora
5202832,432fcb4c-71de-4e44-85ad-ce489c809fc5,2017-02-25,research,,https://www.inaturalist.org/observations/5202832,https://static.inaturalist.org/photos/6422754/medium.jpg,,"",Volutaria tubuliflora
5202833,f3ef5aef-a830-4191-9734-718481e2ded0,2017-02-25,research,,https://www.inaturalist.org/observations/5202833,https://static.inaturalist.org/photos/6422755/medium.jpg,,"",Tubular Knapweed
5394924,eaf02283-a1fe-4755-bbc5-f53a72b29a88,2017-03-14,research,CC-BY-NC,https://www.inaturalist.org/observations/5394924,https://inaturalist-open-data.s3.amazonaws.com/photos/6628466/medium.jpg,,"",Tubular Knapweed
5514274,28e7e912-4c22-492e-b6f1-46e81be84d04,2017-03-26,research,CC-BY-NC,https://www.inaturalist.org/observations/5514274,https://inaturalist-open-data.s3.amazonaws.com/photos/6800301/medium.jpg,,"",Tubular Knapweed
6562039,0cca4f05-166b-47bf-9a51-b4d766db4eb9,2017-04-04,research,CC-BY-NC,https://www.inaturalist.org/observations/6562039,https://inaturalist-open-data.s3.amazonaws.com/photos/8322172/medium.jpeg,,"",Tubular Knapweed
9660871,01592677-217a-41f4-93f7-ee42d0557707,2018-01-29,research,CC-BY-NC,https://www.inaturalist.org/observations/9660871,https://inaturalist-open-data.s3.amazonaws.com/photos/13199771/medium.jpg,,"",Tubular Knapweed
9662749,e6f7791a-5037-4002-a8e6-4c6f8323728d,2018-01-29,research,CC-BY-NC,https://www.inaturalist.org/observations/9662749,https://inaturalist-open-data.s3.amazonaws.com/photos/13202919/medium.jpg,,"",Tubular Knapweed
10237540,28bf96df-0f45-4508-834a-70f317b85c7f,2018-03-14,research,CC-BY-NC,https://www.inaturalist.org/observations/10237540,https://inaturalist-open-data.s3.amazonaws.com/photos/14155353/medium.jpeg,,"",Tubular Knapweed
10352720,514505f1-6e82-402f-9740-e8209752e51d,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10352720,https://inaturalist-open-data.s3.amazonaws.com/photos/14359367/medium.jpg,,"",Tubular Knapweed
10352774,fd5e4915-620b-4b0f-8c42-6c7640245b62,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10352774,https://inaturalist-open-data.s3.amazonaws.com/photos/14359528/medium.jpg,,"",Tubular Knapweed
10352777,5a397ce9-20d8-4af2-9274-6f477e34c6b0,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10352777,https://inaturalist-open-data.s3.amazonaws.com/photos/14359536/medium.jpg,,"",Tubular Knapweed
10352840,37693423-85d3-43aa-a792-1bdcd67a2e00,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10352840,https://inaturalist-open-data.s3.amazonaws.com/photos/14359710/medium.jpg,,"",Tubular Knapweed
10369864,12f08fbd-2617-4af1-be8c-c7f9225fbcd2,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10369864,https://inaturalist-open-data.s3.amazonaws.com/photos/14388856/medium.jpg,,"",Tubular Knapweed
10369924,eb6bb23b-af3b-4227-8f3f-b10d4cf78a83,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10369924,https://inaturalist-open-data.s3.amazonaws.com/photos/14388961/medium.jpg,,"",Tubular Knapweed
10369930,5292bbe3-79d5-4e7f-be6b-27ef64db83a0,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10369930,https://inaturalist-open-data.s3.amazonaws.com/photos/14388982/medium.jpg,,"",Tubular Knapweed
10369931,8a9b2cae-1534-4871-b849-4a235603a543,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10369931,https://inaturalist-open-data.s3.amazonaws.com/photos/14388988/medium.jpg,,"",Tubular Knapweed
10369946,5fceb41b-51d9-4f8d-9dc2-279cd2879d1d,2018-03-21,research,CC-BY-NC,https://www.inaturalist.org/observations/10369946,https://inaturalist-open-data.s3.amazonaws.com/photos/14389041/medium.jpg,,"",Tubular Knapweed
19107385,e535c6b0-9ac5-4c56-bf7d-abba90a0d36f,2018-12-19,research,CC0,https://www.inaturalist.org/observations/19107385,https://inaturalist-open-data.s3.amazonaws.com/photos/29324428/medium.jpg,,"",Tubular Knapweed
19107591,9a2c29bd-5940-4c2e-a98f-2d1e17b24e47,2018-12-19,research,CC0,https://www.inaturalist.org/observations/19107591,https://inaturalist-open-data.s3.amazonaws.com/photos/29324863/medium.jpg,,"",Tubular Knapweed
19119737,cf66a3ca-d5e6-47bb-9e5b-9ed6915055a6,2018-12-19,research,CC-BY-NC,https://www.inaturalist.org/observations/19119737,https://inaturalist-open-data.s3.amazonaws.com/photos/29347399/medium.jpg,,"",Tubular Knapweed
20037497,45454219-c97b-4685-ae79-a36774b9b7bf,2019-02-02,research,CC0,https://www.inaturalist.org/observations/20037497,https://inaturalist-open-data.s3.amazonaws.com/photos/30934373/medium.jpg,,"",Tubular Knapweed
20037512,0a634536-a806-4b28-b685-f83868cd3f1c,2019-02-02,research,CC0,https://www.inaturalist.org/observations/20037512,https://inaturalist-open-data.s3.amazonaws.com/photos/30934396/medium.jpg,,"",Tubular Knapweed
20037525,1b3af701-d1af-44e0-8cda-5e207d75e488,2019-02-02,research,CC0,https://www.inaturalist.org/observations/20037525,https://inaturalist-open-data.s3.amazonaws.com/photos/30934406/medium.jpg,,"",Tubular Knapweed
